IndicatorCode,IndicatorName,Language,Category
GDO_q5x1,Availability of mechanisms to coordinate dementia care across sectors,EN,GDO
NUTSEVWASTINGPREV,"Severe wasted prevalence among children under 5 years of age (%), model-based estimates",EN,NUTSEVWASTINGPREV
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",EN,NUTSTUNTINGPREV
NHABASIS,Basis for NHA estimate,EN,NHABASIS
NTCP_curr,Reported currency,EN,NTCP
GDO_q8x3_4,"Accessibility of activities of daily living support services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",EN,GDO
NUTSEVWASTINGNUM,"Severe wasted numbers among children under 5 years of age (millions), model-based estimates",EN,NUTSEVWASTINGNUM
NUTSTUNTINGNUM,"Stunting numbers among children under 5 years of age (millions), model-based estimates",EN,NUTSTUNTINGNUM
NTCP_govt_exp,Annual budget for tobacco control in currency reported,EN,NTCP
NTD_2,Dracunculiasis certification status of countries at the beginning of the year,EN,NTD
NTD_6,Status of elimination of trachoma as a public health problem,EN,NTD
NTD_8,Number of people who received treatment with antibiotics for trachoma,EN,NTD
NTD_BEJELSTATUS,Status of bejel endemicity,EN,NTD
O_Avail_other,Treatment for tobacco dependence available in other settings,EN,O
O_Bup_ins,Bupropion - cost covered,EN,O
O_Ins_community,Treatment for tobacco dependence in the community cost covered,EN,O
O_Ins_hlth_clin,Treatment for tobacco dependence in health clinics or other primary care facilities cost covered,EN,O
NTD_DRACASES,Dracunculiasis cases,EN,NTD
NTD_LEISHCEND,Status of endemicity of cutaneous leishmaniasis,EN,NTD
NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported,EN,NTD
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,EN,NTD
NTD_LEISHVNUM_IM,Number of imported cases of visceral leishmaniasis reported,EN,NTD
GDO_q8x3_6,"Accessibility of social and financial protection for dementia [Capital/capital and main cities/capital, main cities, rural areas]",EN,GDO
GDO_q8x4_1,"Majority provider of diagnostic services in community for dementia [public, private]",EN,GDO
GDO_q8x3_2,"Accessibility of behaviour and psychological management in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",EN,GDO
GDO_q8x4_3,"Majority provider of psychosocial and rehabilitation services in community for dementia [public, private]",EN,GDO
GDO_q8x5_2,Estimated number of people receiving behaviour and psychological management services in community for dementia,EN,GDO
GDO_q8x4_5,"Majority provider of palliative and end-of-life care services in community for dementia [public, private]",EN,GDO
GDO_q8x4_6,"Majority provider of social and financial protection for dementia [public, private]",EN,GDO
GDO_q8x5_3,Estimated number of people receiving psychosocial and rehabilitation services in community for dementia,EN,GDO
GDO_q9_6,Outpatient social centres,EN,GDO
NUTWASTINGNUM,"Wasted numbers among children under 5 years of age (millions), model-based estimates",EN,NUTWASTINGNUM
NUTWASTINGPREV,"Wasted prevalence among children under 5 years of age (%), model-based estimates",EN,NUTWASTINGPREV
GDO_q8x5_5,Estimated number of people receiving palliative and end-of-life care services in community for dementia,EN,GDO
GDO_q9x2_3,"Dementia-specific residential long-term care beds (per 10,000 population)",EN,GDO
GDO_q9x2_4,Estimated number of people with dementia living in residential long-term care,EN,GDO
GDO_q9_1,Dementia care facilities [hospitals],EN,GDO
GDO_q9_3,Care facilities [hospice centres],EN,GDO
GDO_q9_5,Outpatient health centres,EN,GDO
GDO_q9x1_3,"Dementia-specific hospital beds (per 10,000 population)",EN,GDO
GDO_q9x1_5,"Total dementia hospital admissions (per 100,000)",EN,GDO
GDO_q9x1_7,Estimated percentage of hospitals following national dementia standards,EN,GDO
GDO_q9x2_1,"Density of residential long-term care facilities (per 100,000 population)",EN,GDO
O_Avail_hlthSPACEclin,Treatment for tobacco dependence available in health clinics or other primary care facilities,EN,O
O_Group,Offering help to quit tobacco use,EN,O
O_NRT_ins,Nicotine replacement therapy - cost covered,EN,O
NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,EN,NTD
O_Varen_where,Varenicline - place available,EN,O
RSUD_730,Open access interventions for drugs,EN,RSUD
RSUD_76,"Prevention activities for substance use disorders, main focus",EN,RSUD
RSUD_71,Essential list of medicines,EN,RSUD
RSUD_72,"Essential list of medicines, pharmacotherapy for substance use disorders",EN,RSUD
RSUD_74,Budget line for substance use disorder prevention,EN,RSUD
RSUD_75,Funding method for substance use disorder prevention,EN,RSUD
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,EN,RSUD
RSUD_77,Programmes for the prevention of substance use disorders for special populations,EN,RSUD
RSUD_770,Postgraduate training programme in prevention,EN,RSUD
O_Avail_hlth_clin,Treatment for tobacco dependence available in health clinics or other primary care facilities,EN,O
RSUD_800,Postgraduate training programme in treatment,EN,RSUD
RSUD_84,"Standards of care for health professionals, human rights",EN,RSUD
RSUD_840,Regular reports on epidemiological and service delivery data for substance use,EN,RSUD
RSUD_85,NGOs for alcohol use disorders,EN,RSUD
RSUD_850,System of monitoring alcohol involvement in forensic pathology,EN,RSUD
RSUD_87,Self-help groups for substance use disorders,EN,RSUD
RSUD_870,Epidemiological data collection system for substance use among children and adolescents,EN,RSUD
RSUD_8,Epidemiological data collection system for substance use disorders,EN,RSUD
RSUD_81,Clinical supervision of health care staff,EN,RSUD
RSUD_810,Continuing professional development in treatment,EN,RSUD
RSUD_820,Epidemiological data collection for substance use,EN,RSUD
RSUD_83,"Standards of care for health professionals, maintenance",EN,RSUD
RSUD_86,NGOs for drug use disorders,EN,RSUD
O_Bup_sold,Bupropion - legally sold,EN,O
O_Ins_off_hlth_prof,Treatment for tobacco dependence in offices of health professionals cost covered,EN,O
O_NRT_where,Nicotine replacement therapy - place available,EN,O
RSUD_760,Educational attainment in prevention,EN,RSUD
RSUD_78,Screening and brief interventions for substance use and substance use disorders,EN,RSUD
RSUD_780,Continuing professional development in prevention,EN,RSUD
RSUD_790,Educational attainment in treatment,EN,RSUD
RSUD_900,Treatment programmes for children and adolescents with drug use disorders,EN,RSUD
GDO_q5x1x1_6,Identification of different sectors in dementia care coordination (Housing),EN,GDO
GDO_q6x1_2,"Number of neurologists (per 100,000)",EN,GDO
GDO_q6x2_4,Inclusion of basic dementia competencies in training of pharmaceutical personnel,EN,GDO
GDO_q6x2_5,Inclusion of basic dementia competencies in training of social workers,EN,GDO
NTD_LEPR9,Number of new leprosy cases with G2D among children (less than 15 years of age),EN,NTD
NTD_ONCHSTATUS,Status of endemicity of onchocerciasis,EN,NTD
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,EN,NTD
NTD_PINTASTATUS,Status of pinta endemicity,EN,NTD
NTD_RAB2,Reported number of human rabies deaths,EN,NTD
NTD_TSOL2,Presence of porcine cysticercosis,EN,NTD
NUTOVERWEIGHTNUM,"Overweight numbers among children under 5 years of age (thousands), model-based estimates",EN,NUTOVERWEIGHTNUM
NUTRITION_2005,Proportion of children aged 6-23 months who receive a minimum acceptable diet,EN,NUTRITION
NUTRITION_579,Exclusive breastfeeding under 6 months (%),EN,NUTRITION
GDO_q9x2_2,Residential long-term care beds (per 10 000 population),EN,GDO
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",EN,NUTRITION
NCD_CCS_UrineAlbumin,General availability of urine testing for albumin,EN,NCD
NCD_DTH_TOT,Total NCD Deaths,EN,NCD
GDO_q9x3_1,"Density of hospice centres (per 100,000 population)",EN,GDO
GDO_q9x3_2,Hospice centre beds (per 10 000 population),EN,GDO
GDO_q9x3_3,"Dementia-specific hospice care beds (per 10,000 population)",EN,GDO
GHE_DALYNUM,Disability-adjusted life years (DALYs),EN,GHE
GHE_DALYRATE,Disability-adjusted life years (DALYs) (per 100 000 population),EN,GHE
GHE_YLDRATE,Years of healthy life lost due to disability (YLDs) (per 100 000 population),EN,GHE
NCDMORT3070,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",EN,NCDMORT3070
nmr,Neonatal mortality rate (deaths per 1000 live births),EN,nmr
NTCP_agcy,National agency for tobacco control exists,EN,NTCP
NTCP_budget_year,Budget year,EN,NTCP
OCC_1,Occupational risk factors attributable deaths,EN,OCC
OCC_10,Occupational carcinogens attributable DALYs ('000),EN,OCC
OCC_12,Occupational carcinogens attributable DALYs per 100'000 capita,EN,OCC
OCC_13,Occupational noise attributable DALYs ('000),EN,OCC
OCC_14,Occupational noise attributable DALYs per 100'000 capita,EN,OCC
GDO_q9x2_5,Estimated percentage of residential long-term care facilities following national dementia standards,EN,GDO
GDO_q9x4_1,"Density of adult day centres (per 100,000 population)",EN,GDO
GDO_q9x4_3,"Dementia-specific adult day centre places (per 10,000 population)",EN,GDO
RSUD_89,Opioid agonist pharmacotherapy for the treatment of opioid dependence (maintenance),EN,RSUD
RSUD_890,Treatment programmes for children and adolescents with alcohol use disorders,EN,RSUD
SA_0000001398,"Alcohol, consumption of pure alcohol by type of beverage (%)",EN,SA
OA_DMFT,"Decayed, missing, or filled teeth",EN,OA
obesewm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",EN,obesewm
OCC_11,Occupational carcinogens attributable deaths per 100'000 capita,EN,OCC
OCC_16,Occupational ergonomic stressors attributable DALYs ('000),EN,OCC
OCC_17,Occupational ergonomic stressors attributable deaths per 100'000 capita,EN,OCC
OCC_18,Occupational ergonomic stressors attributable DALYs per 100'000 capita,EN,OCC
OCC_19,Occupational injuries attributable deaths,EN,OCC
OCC_2,Occupational risk factors attributable DALYs ('000),EN,OCC
OCC_21,Occupational injuries attributable deaths per 100'000 capita,EN,OCC
OCC_3,Occupational risk factors attributable deaths per 100'000 capita,EN,OCC
OCC_4,Occupational risk factors attributable DALYs per 100'000 capita,EN,OCC
OCC_8,Occupational airborne particulates attributable DALYs per 100'000 capita,EN,OCC
GDO_q9x6_2,Estimated number of people with dementia receiving services at outpatient social centre,EN,GDO
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,EN,GHED
GHED_CHEGDP_SHA2011,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),EN,GHED
GHED_EXT_pc_PPP_SHA2011,External health expenditure (EXT) per capita in PPP int$,EN,GHED
OCC_20,Occupational injuries attributable DALYs ('000),EN,OCC
OCC_22,Occupational injuries attributable DALYs per 100'000 capita,EN,OCC
OCC_6,Occupational airborne particulates attributable DALYs ('000),EN,OCC
OCC_7,Occupational airborne particulates attributable deaths per 100'000 capita,EN,OCC
OCC_9,Occupational carcinogens attributable deaths,EN,OCC
OCC_15,Occupational ergonomic stressors attributable deaths,EN,OCC
OCC_5,Occupational airborne particulates attributable deaths,EN,OCC
GDO_q9x5_1,"Density of outpatient health centres (per 100,000 population)",EN,GDO
GDO_q9x5_2,Estimated number of people with dementia receiving services at outpatient health centre,EN,GDO
GHE_YLDNUM,Years of healthy life lost due to disability (YLDs),EN,GHE
ODA_1,"Donor commitments (Million, constant 2009 US$)",EN,ODA
ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",EN,ODA
ORGANKIDNEYRATE,Kidney transplants (per million),EN,ORGANKIDNEYRATE
ORGANLIVERRATE,Liver transplants (per million),EN,ORGANLIVERRATE
ORGANPOP,Population (millions),EN,ORGANPOP
ORGANTOTALDECNUM,Total actual deceased donors (absolute number),EN,ORGANTOTALDECNUM
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),EN,NTD
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),EN,NTD
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",EN,NTD
GDO_q8x2_5,Availability of palliative and end-of-life care services in community for dementia,EN,GDO
GDO_q8x2_6,Availability of social and financial protection for dementia,EN,GDO
GDO_q8x3_5,"Accessibility of palliative and end-of-life care services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",EN,GDO
GDO_q8x4_2,"Majority provider of behaviour and psychological management in community for dementia [public, private]",EN,GDO
GDO_q8x4_4,"Majority provider of activities of daily living support services in community for dementia [public, private]",EN,GDO
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",EN,NUTUNDERWEIGHTNUM
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",EN,NUTUNDERWEIGHTPREV
O_Avail_community,Treatment for tobacco dependence available in the community,EN,O
O_Avail_hosp,Treatment for tobacco dependence available in hospitals,EN,O
O_Avail_off_hlth_prof,Treatment for tobacco dependence available in offices of health professionals,EN,O
O_Bup_where,Bupropion - place available,EN,O
O_Ins_hosp,Treatment for tobacco dependence in hospitals cost covered,EN,O
NTD_LEISHVEND,Status of endemicity of visceral leishmaniasis,EN,NTD
NTD_LEPR11,Number of female leprosy new cases,EN,NTD
RSUD_710,Employment services for drug use disorders,EN,RSUD
RSUD_720,Open access interventions for alcohol,EN,RSUD
RSUD_73,Government unit for substance use disorder prevention,EN,RSUD
RSUD_740,Health professionals providing treatment for alcohol and drug use disorders,EN,RSUD
RSUD_79,Harm reduction programmes for IDUs,EN,RSUD
RSUD_80,Health professionals mostly involved in treatment of substance use disorders,EN,RSUD
RSUD_82,Standards of care for health professionals,EN,RSUD
RSUD_830,Service delivery data collection for substance use,EN,RSUD
GDO_q8x5_4,Estimated number of people receiving activities of daily living support services in community for dementia,EN,GDO
GDO_q8x5_6,Estimated number of people with dementia receiving social and financial protection for dementia,EN,GDO
GDO_q9_2,Care facilities [long-term care],EN,GDO
GDO_q9_4,Adult day centres,EN,GDO
GDO_q9x1_4,"Geriatric-specific hospital beds (per 10,000 population)",EN,GDO
GHED_EXT_pc_US_SHA2011,External health expenditure (EXT) per capita in US$,EN,GHED
GHED_GGHE-D_pc_US_SHA2011,Domestic general government health expenditure (GGHE-D) per capita in US$,EN,GHED
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),EN,GHED
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",EN,SA
SA_0000001401_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",EN,SA
SA_0000001402,"Alcohol, estimate of five-year change in recorded per capita (15+) consumption 2006-2010",EN,SA
SA_0000001405_ARCHIVED,"Alcohol, tourist consumption (in litres of pure alcohol)",EN,SA
SA_0000001406,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)",EN,SA
SA_0000001414,"Alcohol, former drinkers (%), age-standardized",EN,SA
SA_0000001415_ARCHIVED,"Alcohol, heavy episodic drinking (population) past 30 days (%)",EN,SA
RSUD_9,Service delivery data collection system for substance use disorders,EN,RSUD
SA_0000001398_ARCHIVED,"Alcohol, consumption of pure alcohol by type of beverage (%)",EN,SA
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",EN,SA
SA_0000001401,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",EN,SA
SA_0000001402_ARCHIVED,"Alcohol, estimate of five-year change in recorded per capita (15+) consumption 2006-2010",EN,SA
SA_0000001403,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol)",EN,SA
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),EN,GHED
GOE_Q002,strategy refers to the use of ICT to support UHC,EN,GOE
GOE_Q004,National eHealth strategy refers to objectives of UHC,EN,GOE
GOE_Q013,Proportion of private funding,EN,GOE
GOE_Q018,Tertiary institutions provide students of health sciences with training on eHealth,EN,GOE
SA_0000001403_ARCHIVED,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol)",EN,SA
SA_0000001405,"Alcohol, tourist consumption (in litres of pure alcohol)",EN,SA
GHED_GGHE-D_pc_PPP_SHA2011,Domestic general government health expenditure (GGHE-D) per capita in PPP int$,EN,GHED
GHED_GGHE-DGDP_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),EN,GHED
GHED_OOP_pc_PPP_SHA2011,Out-of-pocket expenditure (OOP) per capita in PPP int$,EN,GHED
GOE_Q022,Institutions offer in-service training to health professionals on ICT for health,EN,GOE
GOE_Q030_2,Promoting standards and interoperability,EN,GOE
GOE_Q030_5,Promoting the development and adoption of mHealth,EN,GOE
GOE_Q032,Providing incentives and guidance for innovation research and evaluation of health,EN,GOE
ORGANTOTALDECRATE,Total actual deceased donors (per million),EN,ORGANTOTALDECRATE
GHED_OOP_pc_US_SHA2011,Out-of-pocket expenditure (OOP) per capita in US$,EN,GHED
GHED_PVT-D_pc_US_SHA2011,Domestic private health expenditure (PVT-D) per capita in US$,EN,GHED
GOE_Q010,Public-private partnerships for eHealth,EN,GOE
GOE_Q012,Proportion of public funding,EN,GOE
GHED_PVT-D_pc_PPP_SHA2011,Domestic private health expenditure (PVT-D) per capita in PPP int$,EN,GHED
GOE_Q007,Public funding for eHealth,EN,GOE
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),EN,ort
overwgt3,Overweight prevalence in children aged <three years (%),EN,overwgt3
P1_healthcare,National smoking ban in HEALTH-CARE FACILITIES,EN,P1
P11_fines_any,National smoking ban: FINES FOR VIOLATIONS,EN,P11
P4_govt,National smoking ban in GOVERNMENT FACILITIES,EN,P4
GOE_Q015,Proportion ofpublic private partnerships funding,EN,GOE
ORGANKIDNEYNUM,Kidney transplants (absolute number),EN,ORGANKIDNEYNUM
ORGANTOTALNUM,Total organs transplanted (absolute number),EN,ORGANTOTALNUM
ors,Children aged < 5 years with diarrhoea receiving oral rehydration salts (%),EN,ors
GOE_Q011,Strategy implementation funding available for eHealth,EN,GOE
GOE_Q014,Proportion of donor/non public development funding,EN,GOE
GOE_Q030_3,Providing guidance on privacy and security,EN,GOE
GOE_Q030_4,Providing oversight and enforcement of data ownership,EN,GOE
P10_subnat_auth_exists,Subnational smoking bans - authority exists,EN,P10
P5_compliance,Compliance of ban on smoking in INDOOR OFFICES,EN,P5
SA_0000001416_ARCHIVED,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",EN,SA
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",EN,SA
SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",EN,SA
P_count_places_sf,National smoking ban: NUMBER OF PLACES SMOKE-FREE,EN,P
P13_fines_smoker,National smoking ban: FINES ON THE PATRON,EN,P13
P15_complaints,National smoking ban: CITIZEN COMPLAINTS AND INVESTIGATIONS,EN,P15
P16_subnat_complete_bans_exist,Comprehensive bans in place subnationally,EN,P16
P2_compliance,Compliance of ban on smoking in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,EN,P2
P2_education,National smoking ban in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,EN,P2
P4_compliance,Compliance of ban on smoking in GOVERNMENT FACILITIES,EN,P4
SA_0000001426,"Age-standardized DALYs, liver cancer, per 100,000",EN,SA
SA_0000001433,"Age-standardized DALYs, road traffic accidents, per 100,000",EN,SA
SA_0000001437,"Age-standardized death rates, alcohol use disorders, per 100,000",EN,SA
SA_0000001438,"Age-standardized death rates, breast cancer, per 100,000",EN,SA
SA_0000001442,"Age-standardized death rates, falls, per 100,000",EN,SA
P5_indoor_off,National smoking ban in INDOOR OFFICES,EN,P5
SA_0000001404,"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",EN,SA
SA_0000001406_ARCHIVED,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)",EN,SA
P8_compliance,Compliance of ban on smoking in PUBLIC TRANSPORT,EN,P8
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",EN,PercposANC
PercposMSM,Men who have sex with men (MSM) with active syphilis (%),EN,PercposMSM
SA_0000001413_ARCHIVED,"Alcohol, consumers past 12 months (%)",EN,SA
SA_0000001409_ARCHIVED,"Alcohol, abstainers lifetime (%)",EN,SA
SA_0000001411_ARCHIVED,"Alcohol, abstainers past 12 months (%)",EN,SA
SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",EN,SA
SA_0000001414_ARCHIVED,"Alcohol, former drinkers (%)",EN,SA
SA_0000001417,"Alcohol, patterns of drinking score",EN,SA
SA_0000001417_ARCHIVED,"Alcohol, patterns of drinking score",EN,SA
SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",EN,SA
SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",EN,SA
SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",EN,SA
SA_0000001423,"Age-standardized DALYs, falls, per 100,000",EN,SA
SA_0000001427,"Age-standardized DALYs, liver cirrhosis, per 100,000",EN,SA
SA_0000001430,"Age-standardized DALYs, oesophagus cancer, per 100,000",EN,SA
SA_0000001431,"Age-standardized DALYs, poisoning, per 100,000",EN,SA
GOE_Q030_1,Regulating mobile devices and software,EN,GOE
GOE_Q060,Effectiveness,EN,GOE
GOE_Q062,Demand,EN,GOE
GOE_Q064,Policy,EN,GOE
SA_0000001432,"Age-standardized DALYs, prematurity and low birth rate, per 100,000",EN,SA
SA_0000001435,"Age-standardized DALYs, other unintentional injuries, per 100,000",EN,SA
SA_0000001436,"Age-standardized DALYs, violence, per 100,000",EN,SA
SA_0000001440,"Age-standardized death rates, diabetes mellitus, per 100,000",EN,SA
SA_0000001441,"Age-standardized death rates, drownings, per 100,000",EN,SA
SA_0000001443,"Age-standardized death rates, fires, per 100,000",EN,SA
GOE_Q119_3,Enabling access to education where learning facilities are limited,EN,GOE
SA_0000001452,"Age-standardized death rates, road traffic accidents, per 100,000",EN,SA
SA_0000001454,"Age-standardized death rates, other unintentional injuries, per 100,000",EN,SA
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",EN,SA
SA_0000001424,"Age-standardized DALYs, fires, per 100,000",EN,SA
SA_0000001425,"Age-standardized DALYs, ischaemic heart disease, per 100,000",EN,SA
SA_0000001434,"Age-standardized DALYs, self-inflicted injury, per 100,000",EN,SA
GDO_q9x4_2,"Adult day centre places (per 10,000 population)",EN,GDO
GDO_q9x6_1,"Density of outpatient social centres (per 100,000 population)",EN,GDO
GHE_YLLNUM,Years of life lost from mortality (YLLs),EN,GHE
GHE_YLLRATE,Years of life lost from mortality (YLLs) (per 100 000 population),EN,GHE
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,EN,GHED
O_Ins_other,Treatment for tobacco dependence in other settings cost covered,EN,O
O_NRT_EML,Nicotine replacement therapy on the Essential Medicines List,EN,O
O_NRT_sold,Nicotine replacement therapy - legally sold,EN,O
O_Quitline,Access to a toll-free quit line,EN,O
O_Varen_ins,Varenicline - cost covered,EN,O
O_Varen_sold,Varenicline - legally sold,EN,O
RSUD_860,System of monitoring drugs involvement in forensic pathology,EN,RSUD
RSUD_88,Groups and agencies for the prevention of substance use disorders,EN,RSUD
RSUD_880,Epidemiological data collection system for substance use among children and adolescents,EN,RSUD
SA_0000001404_ARCHIVED,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",EN,SA
GHED_EXTCHE_SHA2011,External health expenditure (EXT) as percentage of current health expenditure (CHE) (%),EN,GHED
GHED_GGHE-DCHE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%),EN,GHED
SA_0000001439,"Age-standardized death rates, colon and rectum cancers, per 100,000",EN,SA
SA_0000001444,"Age-standardized death rates, ischaemic heart disease, per 100,000",EN,SA
SA_0000001445,"Age-standardized death rates, liver cancer, per 100,000",EN,SA
P7_pubs,National smoking ban in PUBS AND BARS,EN,P7
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",EN,PerctreatedANC
pncall5,Postnatal care visit within two days of birth (in the five years preceding the survey) (%),EN,pncall5
P9_all_other,National smoking ban in ALL OTHER INDOOR PUBLIC PLACES,EN,P9
PC_sfe_compliance,Compliance with regulations on smoke-free environments (national legislation),EN,PC
pncall3,Postnatal care visit within two days of birth (in the three years preceding the survey) (%),EN,pncall3
pnchome3,Postnatal care visit within two days of birth - born outside a health facility (in the three years preceding the survey) (%),EN,pnchome3
R_Ad_val_estimate,Most sold brand of cigarettes - taxes as a % of price - ad valorem excise,EN,R
SA_0000001450,"Age-standardized death rates, poisoning, per 100,000",EN,SA
SA_0000001451,"Age-standardized death rates, prematurity and low birth rate, per 100,000",EN,SA
PercposSW,Sex workers with active syphilis (%),EN,PercposSW
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",EN,PerctestedANC
pncall,Postnatal care visit within two days of birth (in the x years preceding the survey) (%),EN,pncall
pnchome,Postnatal care visit within two days of birth - born outside a health facility (in the x years preceding the survey) (%),EN,pnchome
poliov,Polio immunization coverage among one-year-olds (%),EN,poliov
R_admin_duty_free_limited,Tax administration: Bans or limits on duty free imports by travellers,EN,R
SA_0000001457_ARCHIVED,"Liver cirrhosis, age-standardized death rates (15+), per 100,000 population",EN,SA
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",EN,SA
SA_0000001459_ARCHIVED,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",EN,SA
pnchome5,Postnatal care visit within two days of birth - born outside a health facility (in the five years preceding the survey) (%),EN,pnchome5
R_Ad_val_average,Average - taxes as a % of cigarette price - ad valorem excise,EN,R
R_admin_duty_free_allowance,"Tax administration: If duty free imports are limited, duty free allowance (number of cigarette sticks)",EN,R
R_Curr_mp,Most sold brand of cigarettes - currency reported,EN,R
GOE_Q057,Capacity,EN,GOE
GOE_Q109,Pre-service eLearning programmes have been evaluated,EN,GOE
GOE_Q119_1,Reducing cost of delivering content,EN,GOE
SA_0000001462,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",EN,SA
SA_0000001462_ARCHIVED,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",EN,SA
R_admin_tax_stamps,Tax administration: Tax stamps applied on tobacco products,EN,R
R_Curr_premium_cost,Premium brand of cigarettes - currency reported,EN,R
GOE_Q058,Infrastructure,EN,GOE
GOE_Q059,Funding,EN,GOE
GOE_Q061,Cost-effectiveness,EN,GOE
GOE_Q063,Legal,EN,GOE
GOE_Q069,Country has telehealth policy or strategy,EN,GOE
GOE_Q070,Strategy includes objectives as to how telehealth contributes to UHC,EN,GOE
GOE_Q081,Evaluation of any government-sponsored telehealth programmes,EN,GOE
GOE_Q122,eLearning programmes for in-service training of health professionals have been evaluated,EN,GOE
GOE_Q131,Lack of capacity,EN,GOE
GOE_Q138,Lack of suitable courses available,EN,GOE
GOE_Q139,Insitutional educational policy does not include eLearning as an approach to teaching health sciences,EN,GOE
SA_0000001446,"Age-standardized death rates, liver cirrhosis, per 100,000",EN,SA
SA_0000001448,"Age-standardized death rates, mouth and oropharynx cancer, per 100,000",EN,SA
R_excise_incr,Tobacco excises increased over the survey period,EN,R
R_excise_retail_price_base,Tax structure: Retail price used as base of ad valorem component in ad valorem or mixed excise regime (or retail price exclusive of VAT),EN,R
GOE_Q104_2,Improving access to content and experts,EN,GOE
GOE_Q104_3,Enabling access to education where learning facilities are limited,EN,GOE
GOE_Q118,eLearning used for in-service training of health professionals,EN,GOE
GOE_Q120,eLearning courses accredited by continuing medical education or professional licensing bodies,EN,GOE
GOE_Q132,Lack of infrastructure,EN,GOE
SA_0000001453,"Age-standardized death rates, self-inflicted injury, per 100,000",EN,SA
SA_0000001455,"Age-standardized death rates, violence, per 100,000",EN,SA
SA_0000001457,"Liver cirrhosis, age-standardized death rates (15+), per 100,000 population",EN,SA
R_Other_average,Average - taxes as a % of cigarette price - other taxes,EN,R
GOE_Q134,Not possible to gain a health sciences degree entirely through eLearning,EN,GOE
